;covariates;anc;ancad;endo;endad;N;anc.juv;endo.juv;juv;anc.bm;ancad.bm;endo.bm;endad.bm;N.bm;anc.juv.bm;endo.juv.bm;juv.bm;SR;H
(Intercept);(Intercept);1.281813168;0.90750445;1.784635845;0.900479504;2.491824201;-6.982898872;1.118149364;1.517350336;2.285211522;2.246038043;1.41805121;1.338781465;2.563878145;1.05415444;0.898025237;1.22734408;2.249881896;1.039626021
age_class.L;age_class.L;2.384944217;2.167593966;2.008111293;2.371802831;2.386192912;19.10276666;1.719948523;1.989407231;1.680983187;1.620213903;1.200249076;0.995424404;1.955938464;NA;0.106189863;0.40598968;1.966254628;0.406429542
age_class.Q;age_class.Q;-0.412975259;-0.765632956;-0.691002979;-0.724887038;-0.960612078;-5.026894995;-0.881741204;-0.859498629;-0.25277811;-0.210870797;-0.008667703;-0.052026973;-0.30602625;NA;0.076531808;0.05101318;0.077580182;-0.095711657
age_class.C;age_class.C;-0.200332457;0.430003747;-0.880871113;-0.969750955;-0.745486331;-6.104039293;-0.66435604;-0.762314913;0.157038134;0.177707906;-0.53445812;-0.608376013;-0.236949582;NA;-0.014492731;-0.0532904;-0.009581389;-0.016525707
age_class^4;age_class^4;0.871479957;-0.017639904;1.23881847;0.61576457;1.187712526;7.584318079;2.20405433;2.187554405;0.089084838;0.065383482;0.072800803;-0.136224297;-0.020558887;NA;0.126744056;0.186707218;0.362330064;0.091744627
samcam2;samcam2;0.396372647;0.504970484;0.369876528;0.744843459;0.73178772;7.745826849;0.338842998;0.731428093;NA;0.046469022;0.39632068;0.188772014;0.317487748;-0.098113193;0.142879636;NA;0.831878366;0.069041102
samcam3;samcam3;0.393174346;0.580221865;0.702076401;0.577501389;1.074667082;3.011247502;1.451898128;1.308391476;NA;0.024300208;0.527104962;0.508759717;0.261222194;-0.297631174;0.245526041;NA;0.512461735;0.048351241
scl.mc;scl.mc;0.131803132;0.000433246;0.603985977;0.361492174;0.491125155;0.152917689;0.988626431;0.83134324;0.017220894;0.014296744;0.180822785;0.123883059;0.003546614;NA;0.175142087;0.18117408;0.197949086;0.008083145
I(scl.mc^2);I(scl.mc^2);-0.011140892;NA;-0.034543774;0.054750097;-0.31368815;0.001857309;-0.520363718;-0.538384043;NA;NA;0.009290647;NA;NA;NA;NA;NA;0.185360914;NA
scl.cn;scl.cn;-0.014052194;-0.074888566;-0.016538429;-0.237275747;0.019188092;-0.000130227;0.067888142;0.070785068;0.000156959;-5.44E-05;NA;-0.029307565;NA;NA;NA;NA;-0.012984677;NA
scl.pH;scl.pH;0.07056258;NA;0.132265107;0.244811823;NA;0.032316553;0.016536889;NA;0.014295473;0.018479168;0.221780771;0.153389438;0.008907186;NA;0.187537389;0.166274578;0.245794511;0.003436903
scl.clay;scl.clay;-0.269686289;-0.094729818;0.247563994;0.136713184;0.060339642;-0.295152003;0.252178909;0.102774633;-0.000148558;0.002347933;-0.011799577;0.006350767;NA;NA;NA;-0.021631868;-0.029097061;NA
scl.ats1;scl.ats1;-0.092750802;0.006256339;NA;NA;NA;-0.026510114;NA;NA;-0.007041819;-0.036570088;NA;-0.153768599;-0.054680467;NA;NA;NA;NA;-0.010717893
I(scl.ats1^2);I(scl.ats1^2);-0.153625493;-0.292620344;NA;NA;NA;-0.156574744;NA;NA;-0.016162137;-0.078101863;NA;NA;-0.055482976;NA;NA;NA;NA;NA
scl.prec1;scl.prec1;0.05365486;0.003318154;NA;NA;0.388579795;0.048191556;0.399749739;0.473532739;NA;NA;NA;0.070832748;0.053571947;NA;NA;NA;NA;NA
age_class.L:samcam2;age_class.L:samcam2;-0.270579621;NA;-1.026359401;-1.213880527;-1.071469633;-16.9209135;-0.823434903;-0.962888776;NA;NA;NA;0.027596035;NA;NA;0.167315156;NA;NA;NA
age_class.Q:samcam2;age_class.Q:samcam2;-0.651260506;NA;0.496944075;0.719846969;0.647344189;3.223204698;0.78841957;0.357518436;NA;NA;NA;0.000750541;NA;NA;-0.011851529;NA;NA;NA
age_class.C:samcam2;age_class.C:samcam2;0.831292831;NA;0.580785933;0.863721991;0.544879134;6.830850893;-0.110361872;0.349376009;NA;NA;NA;0.129806186;NA;NA;-0.074231058;NA;NA;NA
age_class^4:samcam2;age_class^4:samcam2;-0.859775548;NA;-1.290017672;-0.657755715;-1.310768671;-7.445251545;-2.551652534;-2.311736304;NA;NA;NA;-0.06468419;NA;NA;-0.190569503;NA;NA;NA
age_class.L:samcam3;age_class.L:samcam3;0.036759441;NA;0.194874838;0.074775653;-0.385877439;-6.403166059;0.022831914;-0.019214537;NA;NA;NA;0.172688397;NA;NA;0.127258315;NA;NA;NA
age_class.Q:samcam3;age_class.Q:samcam3;-0.121490448;NA;0.245791125;0.328496944;-0.001162062;-4.023582613;-0.216959855;-0.263228893;NA;NA;NA;-0.076085542;NA;NA;-0.008852526;NA;NA;NA
age_class.C:samcam3;age_class.C:samcam3;0.455237574;NA;0.027760608;0.117087155;0.296903913;11.83654011;-0.323114096;0.251232819;NA;NA;NA;0.084882393;NA;NA;0.039583711;NA;NA;NA
age_class^4:samcam3;age_class^4:samcam3;-0.598347524;NA;-0.188414514;0.081887044;0.042580271;-8.94729971;-0.021044754;-0.161960785;NA;NA;NA;0.315704822;NA;NA;0.02216938;NA;NA;NA
scl.mc:scl.pH;scl.mc:scl.pH;0.002169303;NA;0.428192014;0.394491697;NA;NA;0.070455633;NA;NA;NA;0.21508314;0.144495993;NA;NA;0.114082002;0.010799606;0.434546227;NA
scl.cn:scl.pH;scl.cn:scl.pH;NA;NA;0.034671997;0.202135574;NA;NA;NA;NA;NA;NA;NA;0.017410897;NA;NA;NA;NA;NA;NA
