;X.Intercept.;age_class;samcam;scl.ats1;I.scl.ats1.2.;scl.clay;scl.cn;scl.mc;I.scl.mc.2.;scl.pH;scl.prec1;age_class.samcam;scl.cn.scl.pH;scl.mc.scl.pH;offset.log.area..;df;logLik;AICc;delta;weight;V21
1115;0.651784012;+;+;NA;-0.30334905;-0.411582793;NA;0.170337595;NA;NA;NA;+;NA;NA;NA;19;-344.1727747;731.1556759;0;0.084256625;anc
9307;2.038079794;+;+;NA;-0.303350019;-0.411583014;NA;0.170337693;NA;NA;NA;+;NA;NA;+;19;-344.1727747;731.1556759;1.15E-10;0.084256625;anc
1363;0.452409795;+;+;NA;NA;-0.516980656;NA;0.193129665;NA;0.277422345;NA;+;NA;NA;NA;19;-344.415161;731.6404485;0.484772595;0.066120637;anc
9555;1.838705353;+;+;NA;NA;-0.516980248;NA;0.193129504;NA;0.277422275;NA;+;NA;NA;+;19;-344.415161;731.6404485;0.484772595;0.066120637;anc
1099;0.687205156;+;+;NA;-0.283298226;NA;NA;0.162999741;NA;NA;NA;+;NA;NA;NA;18;-346.2393872;732.7806612;1.624985245;0.037388927;anc
9291;2.073497986;+;+;NA;-0.283297928;NA;NA;0.162999849;NA;NA;NA;+;NA;NA;+;18;-346.2393872;732.7806612;1.624985245;0.037388927;anc
9735;1.967914131;+;+;-0.42792872;NA;NA;NA;NA;NA;NA;0.186069447;+;NA;NA;+;18;-346.4661059;733.2340986;2.078422693;0.029804395;anc
1543;0.581618323;+;+;-0.427927724;NA;NA;NA;NA;NA;NA;0.186069524;+;NA;NA;NA;18;-346.4661059;733.2340986;2.078422694;0.029804395;anc
9819;1.980331151;+;+;NA;-0.279655689;-0.387989479;NA;0.155152974;NA;NA;0.060915556;+;NA;NA;+;20;-343.9474383;733.245195;2.089519102;0.029639492;anc
1627;0.594039119;+;+;NA;-0.279655967;-0.387989649;NA;0.155153466;NA;NA;0.060914827;+;NA;NA;NA;20;-343.9474383;733.245195;2.089519103;0.029639492;anc
9743;2.049835423;+;+;-0.356925366;-0.14310589;NA;NA;NA;NA;NA;0.14990691;+;NA;NA;+;19;-345.2311847;733.272496;2.116820123;0.029237647;anc
1551;0.663538361;+;+;-0.356925228;-0.14310629;NA;NA;NA;NA;NA;0.149907114;+;NA;NA;NA;19;-345.2311847;733.272496;2.116820123;0.029237647;anc
1147;0.658160852;+;+;NA;-0.306209397;-0.380952575;-0.057808259;0.170815553;NA;NA;NA;+;NA;NA;NA;20;-344.1193719;733.5890623;2.433386339;0.024957491;anc
9339;2.04445509;+;+;NA;-0.306210039;-0.380957709;-0.057805448;0.17081581;NA;NA;NA;+;NA;NA;+;20;-344.1193719;733.5890623;2.43338634;0.024957491;anc
5459;0.432483746;+;+;NA;NA;-0.49619054;NA;0.197366894;NA;0.262681435;NA;+;NA;0.048236333;NA;20;-344.2236434;733.7976052;2.64192929;0.022486217;anc
13651;1.8187806;+;+;NA;NA;-0.496190264;NA;0.197367038;NA;0.262681622;NA;+;NA;0.048236245;+;20;-344.2236434;733.7976052;2.641929291;0.022486217;anc
1039;0.795152868;+;+;-0.35926042;-0.186635502;NA;NA;NA;NA;NA;NA;+;NA;NA;NA;18;-346.7859893;733.8738654;2.718189513;0.021644956;anc
9231;2.181451006;+;+;-0.359262977;-0.1866347;NA;NA;NA;NA;NA;NA;+;NA;NA;+;18;-346.7859893;733.8738654;2.718189513;0.021644956;anc
9587;1.84434236;+;+;NA;NA;-0.476084943;-0.086594199;0.195162619;NA;0.284315543;NA;+;NA;NA;+;20;-344.3017685;733.9538554;2.798179518;0.020796349;anc
1395;0.45804749;+;+;NA;NA;-0.476084594;-0.086594431;0.195162565;NA;0.284315435;NA;+;NA;NA;NA;20;-344.3017685;733.9538554;2.798179518;0.020796349;anc
9923;1.830549921;+;+;NA;NA;NA;NA;0.184424424;-0.175121679;NA;0.290096862;+;NA;NA;+;19;-345.6066826;734.0234918;2.867815908;0.020084718;anc
1731;0.444254779;+;+;NA;NA;NA;NA;0.184425751;-0.175122116;NA;0.290095921;+;NA;NA;NA;19;-345.6066826;734.0234918;2.867815911;0.020084718;anc
9323;2.083529599;+;+;NA;-0.295822572;NA;-0.193079339;0.165941218;NA;NA;NA;+;NA;NA;+;19;-345.6315895;734.0733056;2.917629637;0.01959065;anc
1131;0.697235581;+;+;NA;-0.295821888;NA;-0.193078063;0.165941045;NA;NA;NA;+;NA;NA;NA;19;-345.6315895;734.0733056;2.917629637;0.01959065;anc
1491;0.455583845;+;+;NA;NA;-0.515992725;NA;0.194653074;-0.002993435;0.275371718;NA;+;NA;NA;NA;20;-344.4140496;734.1784177;3.022741819;0.01858763;anc
9683;1.841877651;+;+;NA;NA;-0.515995604;NA;0.194653478;-0.002992921;0.275372183;NA;+;NA;NA;+;20;-344.4140496;734.1784177;3.022741819;0.01858763;anc
9803;1.983776968;+;+;NA;-0.250600943;NA;NA;0.140282868;NA;NA;0.092312323;+;NA;NA;+;19;-345.7115967;734.23332;3.077644036;0.018084319;anc
1611;0.597485574;+;+;NA;-0.250602369;NA;NA;0.140282914;NA;NA;0.092312265;+;NA;NA;NA;19;-345.7115967;734.23332;3.077644037;0.018084319;anc
1055;0.746826918;+;+;-0.31078491;-0.207228065;-0.288993289;NA;NA;NA;NA;NA;+;NA;NA;NA;19;-345.7736593;734.3574452;3.201769275;0.016996077;anc
9247;2.133118901;+;+;-0.310785384;-0.207228357;-0.288995087;NA;NA;NA;NA;NA;+;NA;NA;+;19;-345.7736593;734.3574452;3.201769276;0.016996077;anc
9759;2.020333181;+;+;-0.317367231;-0.163655445;-0.244086812;NA;NA;NA;NA;0.134380318;+;NA;NA;+;20;-344.5493295;734.4489776;3.293301646;0.016235763;anc
1567;0.634037793;+;+;-0.317367098;-0.163655809;-0.244084662;NA;NA;NA;NA;0.134380646;+;NA;NA;NA;20;-344.5493295;734.4489776;3.293301646;0.016235763;anc
9751;1.937824891;+;+;-0.405242276;NA;-0.178346188;NA;NA;NA;NA;0.179193956;+;NA;NA;+;19;-346.0990302;735.0081871;3.852511153;0.012275576;anc
1559;0.551529629;+;+;-0.405240799;NA;-0.178345578;NA;NA;NA;NA;0.179194172;+;NA;NA;NA;19;-346.0990302;735.0081871;3.852511153;0.012275576;anc
1747;0.420361683;+;+;NA;NA;-0.276029191;NA;0.187653712;-0.169102478;NA;0.272246312;+;NA;NA;NA;20;-344.867385;735.0850885;3.929412614;0.011812531;anc
9939;1.806647538;+;+;NA;NA;-0.276032002;NA;0.187654297;-0.169103796;NA;0.272248117;+;NA;NA;+;20;-344.867385;735.0850885;3.929412621;0.011812531;anc
11;0.214165491;+;+;NA;-0.28362284;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-289.1972774;597.4788922;0;0.084601535;ancad
8203;1.600460057;+;+;NA;-0.283622859;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;9;-289.1972774;597.4788922;5.35E-11;0.084601535;ancad
27;0.214333904;+;+;NA;-0.292043909;-0.268210954;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;-288.228647;597.7906274;0.311735209;0.072391204;ancad
8219;1.600628222;+;+;NA;-0.29204408;-0.268210986;NA;NA;NA;NA;NA;NA;NA;NA;+;10;-288.228647;597.7906274;0.311735209;0.072391204;ancad
8235;1.616080417;+;+;NA;-0.299397283;NA;-0.217183224;NA;NA;NA;NA;NA;NA;NA;+;10;-288.2399515;597.8132363;0.334344144;0.071577468;ancad
43;0.229785883;+;+;NA;-0.299397412;NA;-0.217183179;NA;NA;NA;NA;NA;NA;NA;NA;10;-288.2399515;597.8132363;0.334344144;0.071577468;ancad
59;0.226510623;+;+;NA;-0.301051512;-0.185477643;-0.148485803;NA;NA;NA;NA;NA;NA;NA;NA;11;-287.8410487;599.2918534;1.812961257;0.034174227;ancad
8251;1.612805093;+;+;NA;-0.301051599;-0.185477315;-0.148486162;NA;NA;NA;NA;NA;NA;NA;+;11;-287.8410487;599.2918535;1.812961257;0.034174227;ancad
523;0.182774833;+;+;NA;-0.274524624;NA;NA;NA;NA;NA;0.037348281;NA;NA;NA;NA;10;-289.1098186;599.5529705;2.074078334;0.029991477;ancad
8715;1.569068884;+;+;NA;-0.274524317;NA;NA;NA;NA;NA;0.037348162;NA;NA;NA;+;10;-289.1098186;599.5529705;2.074078334;0.029991477;ancad
8207;1.595339974;+;+;0.011351421;-0.285959003;NA;NA;NA;NA;NA;NA;NA;NA;NA;+;10;-289.1948535;599.7230404;2.244148204;0.027546578;ancad
15;0.209043956;+;+;0.011352727;-0.285958678;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;-289.1948535;599.7230404;2.244148205;0.027546578;ancad
75;0.214008707;+;+;NA;-0.283586156;NA;NA;-0.000313786;NA;NA;NA;NA;NA;NA;NA;10;-289.197265;599.7278634;2.248971164;0.02748023;ancad
8267;1.600302407;+;+;NA;-0.283586044;NA;NA;-0.000313449;NA;NA;NA;NA;NA;NA;+;10;-289.197265;599.7278634;2.248971164;0.02748023;ancad
31;0.189799129;+;+;0.054988559;-0.303609902;-0.280618057;NA;NA;NA;NA;NA;NA;NA;NA;NA;11;-288.1732522;599.9562606;2.477368364;0.024514584;ancad
8223;1.576093372;+;+;0.054987044;-0.303609469;-0.28061819;NA;NA;NA;NA;NA;NA;NA;NA;+;11;-288.1732522;599.9562606;2.477368364;0.024514584;ancad
47;0.215085606;+;+;0.033462985;-0.306638633;NA;-0.220734598;NA;NA;NA;NA;NA;NA;NA;NA;11;-288.2190183;600.0477928;2.5689006;0.023417933;ancad
8239;1.6013807;+;+;0.033463249;-0.306638993;NA;-0.220733875;NA;NA;NA;NA;NA;NA;NA;+;11;-288.2190183;600.0477928;2.5689006;0.023417933;ancad
8731;1.591077722;+;+;NA;-0.28903142;-0.263398254;NA;NA;NA;NA;0.011043908;NA;NA;NA;+;11;-288.2212501;600.0522563;2.573364108;0.023365728;ancad
539;0.204783198;+;+;NA;-0.289031425;-0.263398373;NA;NA;NA;NA;0.011043943;NA;NA;NA;NA;11;-288.2212501;600.0522563;2.573364108;0.023365728;ancad
8283;1.603737632;+;+;NA;-0.292798592;-0.269985734;NA;0.006554143;NA;NA;NA;NA;NA;NA;+;11;-288.2231066;600.0559692;2.577077044;0.023322391;ancad
91;0.217442965;+;+;NA;-0.29279862;-0.269985706;NA;0.006554056;NA;NA;NA;NA;NA;NA;NA;11;-288.2231066;600.0559692;2.577077044;0.023322391;ancad
8747;1.605374597;+;+;NA;-0.295992364;NA;-0.213074262;NA;NA;NA;0.012139668;NA;NA;NA;+;11;-288.2309976;600.0717514;2.59285917;0.023139077;ancad
555;0.219080703;+;+;NA;-0.295992685;NA;-0.213074702;NA;NA;NA;0.012139559;NA;NA;NA;NA;11;-288.2309976;600.0717514;2.59285917;0.023139077;ancad
107;0.231327798;+;+;NA;-0.299725311;NA;-0.217560077;0.003152314;NA;NA;NA;NA;NA;NA;NA;11;-288.238662;600.08708;2.608187846;0.022962409;ancad
8299;1.617621832;+;+;NA;-0.299725304;NA;-0.217559896;0.003152234;NA;NA;NA;NA;NA;NA;+;11;-288.238662;600.08708;2.608187846;0.022962409;ancad
8255;1.586678832;+;+;0.059383837;-0.313900086;-0.197982426;-0.150174053;NA;NA;NA;NA;NA;NA;NA;+;12;-287.7766789;601.4674683;3.988576109;0.011515159;ancad
63;0.200383947;+;+;0.059384591;-0.313900425;-0.197982881;-0.150173963;NA;NA;NA;NA;NA;NA;NA;NA;12;-287.7766789;601.4674683;3.98857611;0.011515159;ancad
54591;1.064324461;+;+;NA;NA;0.466060517;NA;0.580138747;NA;0.143252811;NA;+;NA;0.43016626;NA;20;-534.9308216;1115.246259;0;0.107800871;endo
136511;2.450630951;+;+;NA;NA;0.466060596;NA;0.580139244;NA;0.143254143;NA;+;NA;0.430165132;+;20;-534.9308216;1115.246259;6.43E-09;0.10780087;endo
5443;1.070504855;+;+;NA;NA;NA;NA;0.58431216;NA;0.1535311;NA;+;NA;0.423419231;NA;19;-536.2667571;1115.374279;0.128019977;0.101116746;endo
13635;2.45679501;+;+;NA;NA;NA;NA;0.584312552;NA;0.15353056;NA;+;NA;0.423420306;+;19;-536.2667571;1115.374279;0.128019978;0.101116746;endo
5587;1.139229086;+;+;NA;NA;0.480842757;NA;0.614980472;-0.064649987;0.113316864;NA;+;NA;0.425431884;NA;21;-534.0526324;1116.066555;0.820296504;0.071531469;endo
13779;2.525527561;+;+;NA;NA;0.480838518;NA;0.614980583;-0.064650438;0.113317015;NA;+;NA;0.42543164;+;21;-534.0526324;1116.066555;0.820296505;0.071531469;endo
5571;1.142224954;+;+;NA;NA;NA;NA;0.618036315;-0.062834475;0.124206874;NA;+;NA;0.419018325;NA;20;-535.4411302;1116.266876;1.020617171;0.064713973;endo
13763;2.528516085;+;+;NA;NA;NA;NA;0.618035733;-0.062834963;0.124207013;NA;+;NA;0.419017279;+;20;-535.4411302;1116.266876;1.020617183;0.064713973;endo
13667;2.457381183;+;+;NA;NA;NA;0.133783023;0.582016089;NA;0.151142385;NA;+;NA;0.422844774;+;20;-536.1508521;1117.68632;2.44006105;0.031825098;endo
5475;1.071082095;+;+;NA;NA;NA;0.133784624;0.58201664;NA;0.151143375;NA;+;NA;0.422843601;NA;20;-536.1508521;1117.68632;2.440061052;0.031825098;endo
13683;2.450455908;+;+;NA;NA;0.471854582;-0.016092921;0.580383712;NA;0.143442051;NA;+;NA;0.430317487;+;21;-534.9291807;1117.819652;2.573393108;0.02977262;endo
5491;1.064163597;+;+;NA;NA;0.471857741;-0.01610037;0.580384242;NA;0.143442474;NA;+;NA;0.430317329;NA;21;-534.9291807;1117.819652;2.573393112;0.02977262;endo
15859;2.436534262;+;+;NA;NA;0.540600487;-0.341856749;0.675531607;-0.114863118;0.093929591;NA;+;0.326394887;0.458179059;+;23;-532.3418458;1117.899378;2.653119368;0.028609134;endo
7667;1.050240721;+;+;NA;NA;0.540621606;-0.341866601;0.67553224;-0.114863807;0.093928663;NA;+;0.326396861;0.458179767;NA;23;-532.3418459;1117.899378;2.653119381;0.028609134;endo
7651;1.055054196;+;+;NA;NA;NA;-0.158285505;0.673295479;-0.110281066;0.103320523;NA;+;0.314129891;0.449721584;NA;22;-533.7805462;1118.132521;2.886262333;0.025461171;endo
15843;2.441363263;+;+;NA;NA;NA;-0.158288646;0.673294254;-0.110280474;0.103321091;NA;+;0.314128355;0.449721456;+;22;-533.7805462;1118.132521;2.886262333;0.025461171;endo
13795;2.528158715;+;+;NA;NA;NA;0.123451362;0.615553831;-0.062083372;0.122444049;NA;+;NA;0.418503768;+;21;-535.3453787;1118.652048;3.40578913;0.019636521;endo
5603;1.141867259;+;+;NA;NA;NA;0.123462895;0.615553463;-0.062082917;0.122443881;NA;+;NA;0.418504336;NA;21;-535.3453787;1118.652048;3.405789131;0.019636521;endo
5619;1.139236803;+;+;NA;NA;0.493036253;-0.033859931;0.615635445;-0.064915831;0.113577195;NA;+;NA;0.425735892;NA;22;-534.0456263;1118.662681;3.416422505;0.019532397;endo
13811;2.525530213;+;+;NA;NA;0.493040141;-0.033862029;0.615635623;-0.064915572;0.113578941;NA;+;NA;0.42573406;+;22;-534.0456263;1118.662681;3.416422509;0.019532397;endo
137631;1.604820274;+;+;NA;NA;NA;NA;0.30244573;0.123511731;0.272180924;NA;+;NA;0.376918268;+;20;-361.9049706;769.2644867;0;0.094784938;endad
55711;0.218522895;+;+;NA;NA;NA;NA;0.302444808;0.123511901;0.272180688;NA;+;NA;0.376919096;NA;20;-361.9049706;769.2644867;1.68E-09;0.094784938;endad
7523;0.152247592;+;+;NA;NA;NA;-0.499111732;0.426106086;NA;0.23735151;NA;+;0.489504624;0.412451505;NA;21;-360.725695;769.4906057;0.226118955;0.084652195;endad
15715;1.538544868;+;+;NA;NA;NA;-0.499109416;0.426105899;NA;0.237351728;NA;+;0.489502892;0.412451145;+;21;-360.725695;769.4906057;0.226118955;0.084652195;endad
7539;0.130393047;+;+;NA;NA;0.411520207;-0.638308575;0.427058559;NA;0.223330162;NA;+;0.500410757;0.426361235;NA;22;-359.6265073;769.9109094;0.646422643;0.068607317;endad
15731;1.516690272;+;+;NA;NA;0.411521428;-0.638308541;0.427058394;NA;0.223329874;NA;+;0.500410041;0.42636155;+;22;-359.6265073;769.9109094;0.646422644;0.068607317;endad
55871;0.204561387;+;+;NA;NA;0.290142747;NA;0.300528835;0.121610095;0.2552079;NA;+;NA;0.386476361;NA;21;-361.2110804;770.4613764;1.196889686;0.052100038;endad
137791;1.590862734;+;+;NA;NA;0.290145887;NA;0.30053047;0.121609514;0.25520791;NA;+;NA;0.386476621;+;21;-361.2110804;770.4613764;1.196889688;0.052100038;endad
54431;0.375327411;+;+;NA;NA;NA;NA;0.362176173;NA;0.220959779;NA;+;NA;0.365588798;NA;19;-363.8163314;770.5358887;1.271401966;0.050194704;endad
136351;1.76162437;+;+;NA;NA;NA;NA;0.362176387;NA;0.220960405;NA;+;NA;0.365587997;+;19;-363.8163314;770.5358887;1.271401967;0.050194704;endad
76511;0.110275669;+;+;NA;NA;NA;-0.402220266;0.379446329;0.067934108;0.26268339;NA;+;0.392975451;0.409980135;NA;22;-360.2620976;771.1820899;1.917603153;0.036335998;endad
158431;1.496566729;+;+;NA;NA;NA;-0.402216544;0.379445832;0.067934511;0.262683129;NA;+;0.39297344;0.409980669;+;22;-360.2620976;771.1820899;1.917603154;0.036335998;endad
54592;0.36131022;+;+;NA;NA;0.302799231;NA;0.359881748;NA;0.204899837;NA;+;NA;0.375161881;NA;20;-363.0659456;771.5864366;2.321949827;0.029684814;endad
136512;1.747601358;+;+;NA;NA;0.302801219;NA;0.359881235;NA;0.204899144;NA;+;NA;0.37516251;+;20;-363.0659456;771.5864366;2.321949829;0.029684814;endad
158591;1.476999685;+;+;NA;NA;0.389903422;-0.543322739;0.384366812;0.061749184;0.246273751;NA;+;0.41281235;0.424156548;+;23;-359.2438129;771.7988841;2.53439737;0.026693279;endad
