"","Group.1","dgO","dgN","area","age","y_est","year","pH","mc","cn","sand","silt","clay","ata1","atb1","hum1","ats1","prec1","rad1","ata2","atb2","hum2","ats2","prec2","rad2","soil_tillage","fertilisation","weed_control","soil_compaction","compaction","dsamcam","ACA","ACH","ALO","ARO","END","LCA","LRU","LTR","LUM","OCY","OLA","UNK","ACA_BM","ACH_BM","ALO_BM","ARO_BM","END_BM","LCA_BM","LRU_BM","LTR_BM","LUM_BM","OCY_BM","OLA_BM","UNK_BM","endad","endad.bm","ancad","ancad.bm"
"1","1",0,0,0,0.333333333333333,0,0.333333333333333,0.141696075378882,2.86095922253608,0,0,0,0,4.36477312634282,4.22748546222614,1.73419529849822,4.50370341435184,0.346906967996384,403.980462247592,1.43493321563525,1.03722385883344,6.8488709531815,1.59756411799687,3.73333333333333,1211.97620988753,0,0,0.333333333333333,0,0,111.275933306952,2.08166599946613,0.333333333333333,0,0.666666666666667,2.33333333333333,0,0,3.17979733805649,0,1.33333333333333,0.577350269189626,1.15470053837925,2.16669135883366,0.222333333333333,0,0.154125850452732,0.208470887922297,0,0,13.3109723828794,0,2.677,0.611667756583952,0,1.33333333333333,2.78285547115428,3.71184290855335,14.2376268798561
"2","2",0,0,0,0.333333333333333,0,0.333333333333333,0.608422367913753,4.07397888219776,0,0,0,0,1.34507744510617,1.46934603745264,2.91263340180898,2.19838071720477,0.47792375031077,352.176706261691,1.17024688753176,1.60267831387892,6.3334114030276,0.428070606844764,0.0333333333333333,1598.91869712003,0,0,0,0,0,105.103652542515,2.185812841434,0,0,1.76383420737639,3.2829526005987,0,0,5.23874454850057,0.881917103688197,0,0,2.185812841434,1.53746212238799,0,0,0.672376465316203,0.263054071332197,0,0,18.9420832099675,0.134666666666667,0,0,0,2.64575131106459,1.67063467081625,3.21455025366432,18.4938116214419
"3","3",0,0,0,0.333333333333333,0,0.333333333333333,0.761759658801763,2.50427259717564,0,0,0,0,4.36477312634282,4.22748546222614,1.73419529849822,4.50370341435184,0.346906967996384,403.980462247592,1.43493321563525,1.03722385883344,6.8488709531815,1.59756411799687,3.73333333333333,1211.97620988753,0,0,0.333333333333333,0,0,111.275933306952,11.9303534454489,12.1289369324402,0,47.1274866717927,14.8810095236998,2.72845092395748,0.577350269189626,5.5075705472861,3.71184290855335,0.333333333333333,1.33333333333333,2.72845092395748,4.32156647267837,3.87917011457061,0,9.33467436199273,3.76486442134522,0.546859010877372,0.246219639978437,20.7544568091879,0.822245097279394,0.340666666666667,1.05733333333333,0.0564333333333333,41.4286535302963,13.183195813147,4.371625682868,19.8286203555198
"4","4",0,0,0,0.333333333333333,0,0.333333333333333,0.144376052184718,1.89952798112314,0,0,0,0,4.33060940027818,4.15420001658295,1.72540816427109,4.43742167380013,0.231540733157497,418.112038267788,0.656412810491826,0.502692749102272,1.85608009884631,1.18665262163973,0.266666666666667,417.651768821826,0,0,0.333333333333333,0,0,111.869467585118,4.58257569495584,0,0,2.40370085030933,4.70224532655529,0,0,4.33333333333333,2,0,0.333333333333333,1,3.57618810094398,0,0,0.773861098647555,0.466756300915633,0,0,8.10299025051863,0.694,0,0.857117715239732,0,2.96273147243853,1.70501165685165,2.90593262902712,7.86309224464382
"5","5",0,0,0,0.333333333333333,0,0.333333333333333,0.214812579809573,3.21651872715556,0,0,0,0,1.63177136197991,1.36189002656031,3.33328833302958,2.10557197296443,0.183333333333333,374.424539630855,1.44952099367726,1.63619816784045,7.45624793936825,0.858318770102991,2.13333333333333,949.71440151471,0,0,0,0,0,105.103652542515,2.90593262902712,0,0,0,8.68587614719692,0,0,3.52766841475279,4.33333333333333,1.73205080756888,0,1.20185042515466,3.60336705195448,0,0,0,1.23648790262312,0,0,9.58496331645446,0.887666666666667,1.10826445901288,0,0,2.51661147842358,3.44464084678408,1.76383420737639,9.26621234455829
"6","6",0,0,0,0.333333333333333,0,0.333333333333333,0.0899999999999999,1.33547370746846,0,0,0,0,4.16940043651362,4.35506984253219,2.83691342444174,4.17504624059556,0.591532848716883,533.037375268689,1.46146425812531,1.08631384865414,7.37068065604075,1.26524481601169,1.66666666666667,1299.01685045952,0,0,0,0,0,110.734417012558,9.68389269755597,0,0,1.33333333333333,4.40958551844098,2.72845092395748,0,2.90593262902712,1,0,0,3.66666666666667,7.65529327401055,0,0,0.232873594705607,0.680575491771486,1.14920151022835,0,3.09021468150318,0.102333333333333,0,0,0.925966666666667,11.7945373419694,7.91832438587862,3.33333333333333,3.29313003809108
"7","7",0,0,0,0.333333333333333,0,0.333333333333333,0.176666666666667,2.69037986838457,0,0,0,0,4.33060940027818,4.15420001658295,1.72540816427109,4.43742167380013,0.231540733157497,418.112038267788,0.656412810491826,0.502692749102272,1.85608009884631,1.18665262163973,0.266666666666667,417.651768821826,0,0.333333333333333,0.333333333333333,0.333333333333333,0,111.869467585118,1.85592145427667,0,0,1,4.84194634877798,0,0,1.76383420737639,0,0,0,0.577350269189626,1.92652790734466,0,0,0.537797669512739,0.536324632206196,0,0,5.43316890344238,0,0,0,0,0.881917103688197,1.80950316047742,1.33333333333333,6.21970913708993
"8","8",0,0,0,0.333333333333333,0,0.333333333333333,0.0953939201416945,2.68725893573127,0,0,0,0,1.63177136197991,1.36189002656031,3.33328833302958,2.10557197296443,0.183333333333333,374.424539630855,1.44952099367726,1.63619816784045,7.45624793936825,0.858318770102991,2.13333333333333,949.71440151471,0,0,0,0,0,105.388698529671,11.3920049937567,4.66666666666667,0,1.20185042515466,53.5007788105307,0,0,4.58257569495584,1.66666666666667,0,0,4.33333333333333,12.5728687568819,1.58566666666667,0,0.353666666666667,4.69885824193258,0,0,5.07404941288952,0.388666666666667,0,0,0,16.5630109984065,14.1196442377672,2.72845092395748,4.62166177412892
"9","9",0,0,0,0.333333333333333,0,0.333333333333333,0.138724346977899,3.20399956821035,0,0,0,0,4.14457476709011,4.22072663570307,2.01858311143678,4.02545787595785,0.355918217822266,299.251336560647,1.14805632846709,1.24816309475609,6.00809546454707,2.20404426251178,0.466666666666667,970.591972858718,0,0,0,0.333333333333333,0,99.019077847543,1.66666666666667,0.666666666666667,3.05505046330389,2.60341655863555,6.50640709864771,0,0,8.14452781524708,0.333333333333333,0.333333333333333,0,0.666666666666667,0.908244888660419,0.299666666666667,4.89574081331019,0.391001705026121,1.3755612591876,0,0,10.5244705963451,0.0446666666666667,0.519666666666667,0,0,1.20185042515466,0.901444075420717,5,4.4700436184797
"10","10",0,0,0,0.333333333333333,0,0.333333333333333,0.113186178975664,1.64004393286022,0,0,0,0,1.64407353174296,1.3811388215688,3.27588325663646,2.13528296329394,0.160242871222959,361.524866963994,2.05066114000122,2.07352625040319,9.20487612325361,1.11968745639129,0,947.170229918806,0,0,1,0.333333333333333,0,104.818891427071,0.577350269189626,0,0,6.02771377334171,5.23874454850057,0,0,1.33333333333333,0,0,0,0.577350269189626,0.510568637240218,0,0,1.18647755983836,0.607658438415676,0,0,1.93551391395441,0,0,0,0,4.91030662088541,1.32240310840194,0.666666666666667,1.84475588659072
"11","11",0,0,0,0.333333333333333,0,0.333333333333333,0.128105859003838,2.83354195474889,0,0,0,0,1.60179413297853,1.51437922742107,3.84351112627215,1.98250963287557,0.150443787951957,639.560088819738,1.37987116950984,1.35912962344779,7.06595672534473,0.937271453623644,1.7,533.833411385154,0,0,0.666666666666667,0.333333333333333,0,98.1636954841815,1.15470053837925,0.333333333333333,0,0.666666666666667,2.08166599946613,0,0,5.19615242270663,1,0,0,1.20185042515466,0.630202172146191,0.116548034923136,0,0.189408142497741,0.304973405033583,0,0,9.08863397020941,0.289,0,0,0,0.333333333333333,0.40073443825057,2.33333333333333,8.82324147358051
"12","12",0,0,0,0.333333333333333,0,0.333333333333333,0.125299640861417,2.40865293567585,0,0,0,0,3.38758681725568,3.01063116306199,3.08633007524039,3.04358889032887,0.752115534860023,641.757751362096,1.69679108908551,2.42475428308382,1.33166562369588,2.29342780813156,0.233333333333333,484.596166353433,0,0,0,0.333333333333333,0,116.839395943511,0.577350269189626,0,0.333333333333333,0,0.333333333333333,0,0,1.20185042515466,0,0,0,0,0.347960885413544,0,1.34133333333333,0,0.05,0,0,0.770360593776994,0,0,0,0,0.577350269189626,0.347993440231917,0.577350269189626,0.575717553242135
"13","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","16",0,0,0,0,0,0,0.245,3.11233577205971,0,0,0,0,4.69,5.185,2.315,5.62,0.225,376.6,2.36,1.675,10.685,1.475,0,2096.5,0,0,0,0,0,88,3,5,0,8.5,14,0,0,0.5,0,0,0,0,1.509,1.2655,0,2.125,2.3225,0,0,0.725,0,0,0,0,16,4.8562,0.5,0.7252
"17","17",0,0,0,0,0,0,0.1,4.94784545852929,0,0,0,0,4.425,4.82,0.965000000000003,5.205,0.96,403.465,1.66,1.465,12.56,0.82,0,2149.5,0,0,0,0,0,86.5,6.5,0,0,0.5,6.5,0,0,1.5,0.5,0,0,2.5,7.785,0,0,0.0755,0.358,0,0,2.275,0.026,0,0,0,6.5,7.276,1.5,2.27465
"18","18",0,0,0,0,0,0,0.415,2.36132557379714,0,0,0,0,2.785,1.755,5.335,3.275,0.77,1109.465,1.215,0.535,0.5,0.455,0.15,767.5,0,0,0,0,0,117,0,2.5,0,0,0,0,0,0.5,0,0,0,0,0,0.7615,0,0,0.054,0,0,1.759,0,0,0,0,2,0.65395,0.5,2.3387
