"","contrast","samcam","anc","anc","ancad","ancad","endo","endo","endad","endad","N","N","anc.juv","anc.juv","endo.juv","endo.juv","juv","juv","anc.bm","anc.bm","ancad.bm","ancad.bm","endo.bm","endo.bm","endad.bm","endad.bm","N.bm","N.bm","anc.juv.bm","anc.juv.bm","endo.juv.bm","endo.juv.bm","juv.bm","juv.bm","SR","SR","H","H","endad.old","endad.old"
"1","A_Cm - B_Sp_young","1","-0.68","0.861","-1.4","0.033","-0.3","0.997","-0.88","0.839","-0.37","0.972","18.38","1","0.59","0.986","0.63","0.968",NA,NA,NA,NA,"0.04","1","-0.04","1","-0.95","0.033",NA,NA,NA,NA,NA,NA,"-0.57","0.812",NA,NA,"-0.88","0.839"
"2","A_Cm - C_Sp_int1","1","-2.53","0.001","-2.07","0","-2.84","0.005","-2.51","0.016","-2.79","0","-3.53","0","-3.1","0.023","-3.3","0.001",NA,NA,NA,NA,"-0.54","0.588","-0.48","0.685","-1.54","0.001",NA,NA,NA,NA,NA,NA,"-1.25","0.198",NA,NA,"-2.51","0.016"
"3","A_Cm - D_Sp_int2","1","-2.24","0.004","-2.28","0","-2.37","0.031","-3.22","0","-2.43","0","-2.6","0.03","-1.08","0.84","-1.71","0.277",NA,NA,NA,NA,"-1.4","0.015","-1.36","0.018","-2.28","0",NA,NA,NA,NA,NA,NA,"-1.61","0.061",NA,NA,"-3.22","0"
"4","A_Cm - E_Sp_old","1","-2.37","0.002","-2.67","0","-1.55","0.456","-2.6","0.011","-2.59","0","-4.54","0","-1.22","0.845","-2.39","0.041",NA,NA,NA,NA,"-1.09","0.064","-0.94","0.131","-2.22","0",NA,NA,NA,NA,NA,NA,"-2.34","0.005",NA,NA,"-2.6","0.011"
"5","B_Sp_young - C_Sp_int1","1","-1.85","0.005","-0.67","0.565","-2.54","0.013","-1.63","0.142","-2.42","0","-21.91","1","-3.7","0.005","-3.93","0",NA,NA,NA,NA,"-0.58","0.634","-0.44","0.812","-0.58","0.359",NA,NA,NA,NA,NA,NA,"-0.68","0.792",NA,NA,"-1.63","0.142"
"6","B_Sp_young - D_Sp_int2","1","-1.56","0.039","-0.87","0.277","-2.07","0.072","-2.34","0.005","-2.05","0.002","-20.97","1","-1.67","0.54","-2.34","0.092",NA,NA,NA,NA,"-1.44","0.029","-1.32","0.047","-1.32","0.009",NA,NA,NA,NA,NA,NA,"-1.04","0.438",NA,NA,"-2.34","0.005"
"7","B_Sp_young - E_Sp_old","1","-1.69","0.021","-1.26","0.033","-1.25","0.692","-1.72","0.111","-2.21","0.001","-22.92","1","-1.81","0.632","-3.02","0.011",NA,NA,NA,NA,"-1.13","0.108","-0.9","0.251","-1.26","0.012",NA,NA,NA,NA,NA,NA,"-1.77","0.076",NA,NA,"-1.72","0.111"
"8","C_Sp_int1 - D_Sp_int2","1","0.29","0.974","-0.2","0.99","0.47","0.972","-0.71","0.791","0.36","0.96","0.94","0.38","2.03","0.232","1.59","0.285",NA,NA,NA,NA,"-0.85","0.285","-0.88","0.263","-0.74","0.177",NA,NA,NA,NA,NA,NA,"-0.36","0.97",NA,NA,"-0.71","0.791"
"9","C_Sp_int1 - E_Sp_old","1","0.16","0.998","-0.59","0.637","1.29","0.602","-0.09","1","0.2","0.996","-1.01","0.462","1.89","0.484","0.91","0.784",NA,NA,NA,NA,"-0.54","0.694","-0.46","0.804","-0.68","0.235",NA,NA,NA,NA,NA,NA,"-1.1","0.416",NA,NA,"-0.09","1"
"10","D_Sp_int2 - E_Sp_old","1","-0.13","0.999","-0.39","0.888","0.82","0.868","0.62","0.87","-0.16","0.998","-1.95","0.015","-0.14","1","-0.68","0.917",NA,NA,NA,NA,"0.31","0.94","0.42","0.846","0.06","1",NA,NA,NA,NA,NA,NA,"-0.73","0.743",NA,NA,"0.62","0.87"
"11","A_Cm - B_Sp_young","2","-1.95","0.034","-1.4","0.033","-0.2","0.999","-0.05","1","-0.54","0.855","-1.61","0.304","-0.11","1","-0.32","0.995",NA,NA,NA,NA,"0.04","1","-0.04","1","-0.95","0.033",NA,NA,NA,NA,NA,NA,"-0.57","0.812",NA,NA,"-0.05","1"
"12","A_Cm - C_Sp_int1","2","-1.86","0.053","-2.07","0","-0.19","0.999","-0.15","0.999","-0.49","0.896","-1.88","0.196","0.29","0.998","-0.13","1",NA,NA,NA,NA,"-0.54","0.588","-0.48","0.685","-1.54","0.001",NA,NA,NA,NA,NA,NA,"-1.25","0.198",NA,NA,"-0.15","0.999"
"13","A_Cm - D_Sp_int2","2","-2.16","0.012","-2.28","0","-1.22","0.484","-1.13","0.382","-1.58","0.026","-2.45","0.034","-1.3","0.657","-1.45","0.388",NA,NA,NA,NA,"-1.4","0.015","-1.36","0.018","-2.28","0",NA,NA,NA,NA,NA,NA,"-1.61","0.061",NA,NA,"-1.13","0.382"
"14","A_Cm - E_Sp_old","2","-2.49","0.002","-2.67","0","-0.44","0.985","-1.35","0.203","-1.6","0.022","-2.47","0.041","-0.13","1","-1","0.734",NA,NA,NA,NA,"-1.09","0.064","-0.94","0.131","-2.22","0",NA,NA,NA,NA,NA,NA,"-2.34","0.005",NA,NA,"-1.35","0.203"
"15","B_Sp_young - C_Sp_int1","2","0.09","1","-0.67","0.565","0.01","1","-0.1","1","0.06","1","-0.27","0.974","0.4","0.995","0.2","0.999",NA,NA,NA,NA,"-0.58","0.634","-0.44","0.812","-0.58","0.359",NA,NA,NA,NA,NA,NA,"-0.68","0.792",NA,NA,"-0.1","1"
"16","B_Sp_young - D_Sp_int2","2","-0.21","0.992","-0.87","0.277","-1.02","0.679","-1.08","0.44","-1.04","0.284","-0.83","0.384","-1.19","0.754","-1.12","0.636",NA,NA,NA,NA,"-1.44","0.029","-1.32","0.047","-1.32","0.009",NA,NA,NA,NA,NA,NA,"-1.04","0.438",NA,NA,"-1.08","0.44"
"17","B_Sp_young - E_Sp_old","2","-0.55","0.771","-1.26","0.033","-0.24","0.999","-1.3","0.249","-1.06","0.265","-0.86","0.556","-0.02","1","-0.67","0.921",NA,NA,NA,NA,"-1.13","0.108","-0.9","0.251","-1.26","0.012",NA,NA,NA,NA,NA,NA,"-1.77","0.076",NA,NA,"-1.3","0.249"
"18","C_Sp_int1 - D_Sp_int2","2","-0.3","0.968","-0.2","0.99","-1.03","0.657","-0.99","0.521","-1.09","0.234","-0.56","0.738","-1.59","0.49","-1.32","0.477",NA,NA,NA,NA,"-0.85","0.285","-0.88","0.263","-0.74","0.177",NA,NA,NA,NA,NA,NA,"-0.36","0.97",NA,NA,"-0.99","0.521"
"19","C_Sp_int1 - E_Sp_old","2","-0.64","0.651","-0.59","0.637","-0.24","0.999","-1.2","0.296","-1.11","0.209","-0.59","0.847","-0.42","0.995","-0.87","0.814",NA,NA,NA,NA,"-0.54","0.694","-0.46","0.804","-0.68","0.235",NA,NA,NA,NA,NA,NA,"-1.1","0.416",NA,NA,"-1.2","0.296"
"20","D_Sp_int2 - E_Sp_old","2","-0.33","0.95","-0.39","0.888","0.79","0.873","-0.22","0.997","-0.02","1","-0.03","1","1.17","0.795","0.45","0.98",NA,NA,NA,NA,"0.31","0.94","0.42","0.846","0.06","1",NA,NA,NA,NA,NA,NA,"-0.73","0.743",NA,NA,"-0.22","0.997"
"21","A_Cm - B_Sp_young","3","-1.79","0.05","-1.4","0.033","-0.06","1","0.18","0.999","-0.48","0.913","-17.44","1","0.2","1","-0.5","0.978",NA,NA,NA,NA,"0.04","1","-0.04","1","-0.95","0.033",NA,NA,NA,NA,NA,NA,"-0.57","0.812",NA,NA,"0.18","0.999"
"22","A_Cm - C_Sp_int1","3","-2.59","0","-2.07","0","-2.42","0.015","-1.87","0.042","-2.36","0","-20.17","1","-2.87","0.031","-3.15","0.001",NA,NA,NA,NA,"-0.54","0.588","-0.48","0.685","-1.54","0.001",NA,NA,NA,NA,NA,NA,"-1.25","0.198",NA,NA,"-1.87","0.042"
"23","A_Cm - D_Sp_int2","3","-2.71","0","-2.28","0","-1.86","0.107","-2.07","0.016","-2.1","0.001","-19.9","1","-1.6","0.462","-1.99","0.114",NA,NA,NA,NA,"-1.4","0.015","-1.36","0.018","-2.28","0",NA,NA,NA,NA,NA,NA,"-1.61","0.061",NA,NA,"-2.07","0.016"
"24","A_Cm - E_Sp_old","3","-2.89","0","-2.67","0","-1.41","0.459","-2.28","0.006","-2.2","0","-20.89","1","-1.14","0.826","-1.85","0.161",NA,NA,NA,NA,"-1.09","0.064","-0.94","0.131","-2.22","0",NA,NA,NA,NA,NA,NA,"-2.34","0.005",NA,NA,"-2.28","0.006"
"25","B_Sp_young - C_Sp_int1","3","-0.81","0.472","-0.67","0.565","-2.36","0.02","-2.06","0.023","-1.88","0.005","-2.73","0.002","-3.06","0.018","-2.65","0.012",NA,NA,NA,NA,"-0.58","0.634","-0.44","0.812","-0.58","0.359",NA,NA,NA,NA,NA,NA,"-0.68","0.792",NA,NA,"-2.06","0.023"
"26","B_Sp_young - D_Sp_int2","3","-0.92","0.315","-0.87","0.277","-1.8","0.147","-2.25","0.009","-1.62","0.02","-2.45","0.008","-1.8","0.369","-1.49","0.36",NA,NA,NA,NA,"-1.44","0.029","-1.32","0.047","-1.32","0.009",NA,NA,NA,NA,NA,NA,"-1.04","0.438",NA,NA,"-2.25","0.009"
"27","B_Sp_young - E_Sp_old","3","-1.1","0.17","-1.26","0.033","-1.35","0.589","-2.46","0.005","-1.73","0.013","-3.45","0","-1.34","0.791","-1.36","0.463",NA,NA,NA,NA,"-1.13","0.108","-0.9","0.251","-1.26","0.012",NA,NA,NA,NA,NA,NA,"-1.77","0.076",NA,NA,"-2.46","0.005"
"28","C_Sp_int1 - D_Sp_int2","3","-0.12","0.999","-0.2","0.99","0.56","0.944","-0.2","0.998","0.26","0.987","0.27","0.983","1.26","0.67","1.16","0.588",NA,NA,NA,NA,"-0.85","0.285","-0.88","0.263","-0.74","0.177",NA,NA,NA,NA,NA,NA,"-0.36","0.97",NA,NA,"-0.2","0.998"
"29","C_Sp_int1 - E_Sp_old","3","-0.3","0.968","-0.59","0.637","1.01","0.778","-0.41","0.969","0.15","0.999","-0.72","0.735","1.72","0.546","1.29","0.474",NA,NA,NA,NA,"-0.54","0.694","-0.46","0.804","-0.68","0.235",NA,NA,NA,NA,NA,NA,"-1.1","0.416",NA,NA,"-0.41","0.969"
"30","D_Sp_int2 - E_Sp_old","3","-0.18","0.995","-0.39","0.888","0.45","0.983","-0.21","0.997","-0.11","1","-1","0.354","0.46","0.992","0.13","1",NA,NA,NA,NA,"0.31","0.94","0.42","0.846","0.06","1",NA,NA,NA,NA,NA,NA,"-0.73","0.743",NA,NA,"-0.21","0.997"
