"","field.ID","location","field","WRB","BO_Syst","soty","crop","age_class","soil_coverage","dgO","dgN","area","age","y_est","year","pH","mc","cn","sand","silt","clay","ata1","atb1","hum1","ats1","prec1","rad1","ata2","atb2","hum2","ats2","prec2","rad2","soil_tillage","fertilisation","weed_control","soil_compaction","compaction","ACA","ACH","ALO","ARO","END","LCA","LRU","LTR","LUM","OCY","OLA","UNK","ACA_BM","ACH_BM","ALO_BM","ARO_BM","END_BM","LCA_BM","LRU_BM","LTR_BM","LUM_BM","OCY_BM","OLA_BM","UNK_BM","endad","endad.bm","ancad","ancad.bm","anc","endo","epi","anc.bm","endo.bm","epi.bm","N","N.bm","SR","H","J"
"1",1,"Dornburg","DO_2004","Mollic_Leptosol","BB-RR","uuT","Silphie","E_Sp_old","50x50",11.658097,51.003187,219,8.66666666666667,2004,2012.66666666667,5.57333333333333,18.6136310563638,8.33,10.8,55.2,34,9.83333333333333,11.2966666666667,70.09,12.6533333333333,1.58,3128.66666666667,15.39,15.83,63.29,13.8466666666667,3.73333333333333,4007,1,2,1.33333333333333,1,1,4,0.333333333333333,0,2.33333333333333,3.33333333333333,0,0,16.6666666666667,0,1.33333333333333,1,3,3.82666666666667,0.222333333333333,0,0.508333333333333,0.696666666666667,0,0,60.8223333333333,0,2.677,1.19166666666667,0,8.66666666666667,8.4102,14.6666666666667,59.477,16.6666666666667,12.3333333333333,0,60.8223333333333,9.12266666666667,0,32,69.945,6,1.12455327350648,0.62762513206696
"11",2,"Hessberg","HE_2004","Terra_Fusca","CFn","uT","Silphie","E_Sp_old","50x50",10.78191,50.414685,285,8.66666666666667,2004,2012.66666666667,5.79666666666667,25.568008151966,8.98,12.3,50.4,37.3,7.66,8.45666666666667,76.8,9.43666666666667,1.86333333333333,2710,9.30666666666667,10.2933333333333,78.47,9.95666666666667,0.0333333333333333,3018,1,2,2,2,2,4.66666666666667,0,0,11.3333333333333,6.66666666666667,0,0,31.3333333333333,1.33333333333333,0,0,4.33333333333333,3.27833333333333,0,0,2.35833333333333,0.592666666666667,0,0,94.77,0.134666666666667,0,0,0,14,5.2256,21,89.1522066666667,31.3333333333333,22.6666666666667,0,94.77,6.22933333333333,0,59.6666666666667,101.134,3,0.843765297143912,0.768028271526838
"12",3,"Dornburg","DO_2005","Mollic_Leptosol","BB-RR","uuT","Silphie","E_Sp_old","50x50",11.656257,51.003652,921,7.66666666666667,2005,2012.66666666667,6.36666666666667,19.2985598764972,10.95,6.1,63,30.9,9.83333333333333,11.2966666666667,70.09,12.6533333333333,1.58,3128.66666666667,15.39,15.83,63.29,13.8466666666667,3.73333333333333,4007,1,2,1.33333333333333,2,2,42,38.6666666666667,0,79,115.333333333333,4.66666666666667,1,15,5.66666666666667,0.333333333333333,1.33333333333333,6.66666666666667,14.3313333333333,11.4283333333333,0,15.2286666666667,11.6306666666667,0.871333333333333,0.479666666666667,36.2663333333333,1.299,0.340666666666667,1.05733333333333,0.0564333333333333,118,35.1318333333333,10.6666666666667,31.5116,15,276.666666666667,5.66666666666667,36.2663333333333,54.017,1.351,309.666666666667,92.9897666666667,8,1.40553863717712,0.675921207211086
"13",4,"Dornburg","DO_2007","Mollic_Leptosol","BB-RR","uuT","Silphie","D_Sp_int2","50x50",11.657904,51.000938,2319,5.66666666666667,2007,2012.66666666667,7.08666666666667,16.8438209274929,9.16,7.2,63.2,29.6,10.1033333333333,11.52,70.04,12.77,1.12,3157.33333333333,14.2366666666667,14.65,68.99,14.1733333333333,0.266666666666667,2931,1,2,1.33333333333333,2,2,10,0,0,6.33333333333333,6.66666666666667,0,0,16.6666666666667,2,0,2.66666666666667,1,7.414,0,0,1.841,0.765666666666667,0,0,53.735,0.694,0,2.81166666666667,0,15.6666666666667,10.522,13.3333333333333,53.1788333333333,16.6666666666667,25.6666666666667,0,53.735,12.8323333333333,0,45.3333333333333,67.2613333333333,4,1.21285738905188,0.87489167024534
"14",5,"Erfurt","EF_2007","Chernozem","TTn","uuT","Silphie","D_Sp_int2","90x50",11.005805,50.98336,172,5.66666666666667,2007,2012.66666666667,7.13666666666667,24.4522995543515,12.36,12.7,60.2,27.1,9.57333333333333,8.72333333333333,76.8966666666667,10.33,0.936666666666667,2785.33333333333,11.2466666666667,9.93333333333333,72.9,10.1066666666667,2.13333333333333,2900.66666666667,1,2,1,2,2,16.6666666666667,0,0,0,12.6666666666667,0,0,30.6666666666667,4.33333333333333,3,0,4.66666666666667,14.9956666666667,0,0,0,2.523,0,0,78.0596666666667,0.887666666666667,2.14233333333333,0,0,17,15.952,18.3333333333333,72.9498333333333,30.6666666666667,32.3333333333333,0,78.0596666666667,19.661,0,72,98.6083333333333,3,0.835950561609991,0.760914992698148
"15",6,"Pahren","PA_2007","stagnic_Luvisol","SSn","ttU","Silphie","D_Sp_int2","50x50",11.89876,50.653093,6676,5.66666666666667,2007,2012.66666666667,5.96,18.4779332522268,8.59,28.9,51.1,20,9.21,10.12,74.9533333333333,10.2033333333333,1.73666666666667,3527,12.1866666666667,12.8833333333333,74.7,11.4833333333333,1.66666666666667,3608.33333333333,1,3,3,4,2,66.3333333333333,0,0,2.66666666666667,18.6666666666667,3.66666666666667,0,5.66666666666667,1,0,0,10.3333333333333,50.5413333333333,0,0,0.465333333333333,1.946,1.16466666666667,0,7.48666666666667,0.102333333333333,0,0,0.925966666666667,66.3333333333333,49.7968,4.33333333333333,5.35623333333333,5.66666666666667,87.6666666666667,3.66666666666667,7.48666666666667,52.9526666666667,1.16466666666667,108.333333333333,62.6323,4,0.589182674555434,0.42500546137941
"16",7,"Dornburg","DO_2009","Mollic_Leptosol","BB-RR","uuT","Silphie","C_Sp_int1","50x50",11.657303,51.000746,1609,3.66666666666667,2009,2012.66666666667,6.72666666666667,16.3634026916951,8.52,10.1,62.4,27.5,10.1033333333333,11.52,70.04,12.77,1.12,3157.33333333333,14.2366666666667,14.65,68.99,14.1733333333333,0.266666666666667,2931,1,2.66666666666667,1.33333333333333,2.66666666666667,2,11.6666666666667,0,0,6,7.33333333333333,0,0,6.66666666666667,0,0,0,1,10.4376666666667,0,0,1.368,0.788666666666667,0,0,24.222,0,0,0,0,16.6666666666667,11.3258666666667,4.66666666666667,23.2005,6.66666666666667,25,0,24.222,12.5943333333333,0,32.6666666666667,36.8163333333333,3,1.052397533404,0.957933516909652
"17",8,"Erfurt","EF_2009","Chernozem","TTn","uuT","Silphie","C_Sp_int1","90x50",11.004722,50.981567,2818,3.66666666666667,2009,2012.66666666667,7.32,22.4087589599421,13.15,10.2,62.1,27.7,9.08,8.88666666666667,75.98,10.18,1.36333333333333,2819.66666666667,9.98333333333333,9.44,74.5833333333333,10.0366666666667,0.0333333333333333,2697.33333333333,1,2,1,3,2,14.3333333333333,4.66666666666667,0,1.66666666666667,54,0,0,10,1.66666666666667,0,0,4.33333333333333,16.1683333333333,1.58566666666667,0,0.353666666666667,4.72533333333333,0,0,19.0403333333333,0.388666666666667,0,0,0,20,17.7234666666667,4.66666666666667,17.7899333333333,10,74.6666666666667,0,19.0403333333333,22.833,0,90.6666666666667,42.262,4,1.16568511398956,0.840864066595414
"18",9,"Poppenburg","PO_2009","Haplic_Luvisol","LLn","tU","Silphie","C_Sp_int1","50x50",9.780602,52.145969,120,3.66666666666667,2009,2012.66666666667,6.24666666666667,15.1054982033242,9.02,16.9,68.6,14.5,7.36,10.8,81.4033333333333,11.33,1.72,2714.33333333333,5.9,6.02,84.86,8.40333333333333,0,2169.33333333333,1,2,2,2.33333333333333,2,8.33333333333333,0.666666666666667,21,6.66666666666667,19,0,0,33,0.333333333333333,0.333333333333333,0,7.66666666666667,4.05866666666667,0.299666666666667,20.1636666666667,1.173,2.86633333333333,0,0,39.752,0.0446666666666667,0.519666666666667,0,0,13.6666666666667,5.64563333333333,27,48.0348666666667,54,35,0,59.9156666666667,8.91733333333333,0,97,68.8776666666667,6,1.2627875860513,0.704775170852227
"2",10,"Erfurt","EF_2011","Chernozem","TTn","uuT","Silphie","B_Sp_young","90x50",10.999336,50.980493,9247,1.66666666666667,2011,2012.66666666667,7.33666666666667,20.3760415161877,18.34,12.7,58,29.3,9.61666666666667,8.77666666666667,76.8366666666667,10.4,0.866666666666667,2800,9.92333333333333,8.74333333333333,74.9166666666667,9.57,0,2903.66666666667,1,2,2,3.33333333333333,2,1,0,0,8,10.3333333333333,0,0,4.66666666666667,0,0,0,1,0.855,0,0,1.82,0.957333333333333,0,0,13.8303333333333,0,0,0,0,7.33333333333333,2.30216666666667,3.33333333333333,13.6463333333333,4.66666666666667,19.3333333333333,0,13.8303333333333,3.63233333333333,0,25,17.4626666666667,3,0.871720081119707,0.793473812473486
"3",11,"Niederdorla","ND_2011","Stagnic_Luvisol","SS-LL","tU","Silphie","B_Sp_young","50x50",10.399994,51.136251,9278,1.66666666666667,2011,2012.66666666667,6.83333333333333,27.3753565353613,8.82,10.1,69.6,20.3,7.48,7.20333333333333,83.1466666666667,8.28,0.98,2406.66666666667,8.38333333333333,7.89333333333333,81.8166666666667,8.35666666666667,0,1309,1,1,2.66666666666667,3.33333333333333,3,4,0.666666666666667,0,4.33333333333333,4,0,0,14,1,0,0,1.66666666666667,2.14133333333333,0.149333333333333,0,0.864333333333333,0.402666666666667,0,0,26.9383333333333,0.289,0,0,0,8.66666666666667,3.0947,8.66666666666667,26.5339666666667,14,13,0,26.9383333333333,3.55766666666667,0,29.6666666666667,30.785,4,1.02350302961933,0.738301372583316
"4",12,"Ronneberg","RO_2011","Haplic_Luvisol","LLn","ttU","Silphie","B_Sp_young","60x60",9.609485,52.295013,1197,1.66666666666667,2011,2012.66666666667,5.41,22.3624864722962,9.86,10.4,75.1,14.5,5.84666666666667,6.44666666666667,82.38,7.26,1.78666666666667,1967,8.28666666666667,9.49666666666667,86.92,9.54333333333333,0.266666666666667,2029,1,3,4,4.33333333333333,3,1,0,0.333333333333333,0,0.333333333333333,0,0,5.66666666666667,0,0,0,0,0.469333333333333,0,1.34133333333333,0,0.05,0,0,19.3966666666667,0,0,0,0,1,0.469366666666667,5,20.6778666666667,6,1.33333333333333,0,20.738,0.519333333333333,0,7.33333333333333,21.2573333333333,3,0.594024165582471,0.54070409707744
"5",13,"Dornburg","DO_Mais","Mollic_Leptosol","BB-RR","uuT","Maize","A_Cm","75x20",11.656488,51.003322,906,0,2012,2012,6.34,14.6997192433852,8.25,7.4,60.5,32.1,16.95,17.48,67.48,18.98,1.85,3849,16.29,16.58,69.24,16.55,11.2,4130,2,1,3,6,2,2,0,0,1,4,0,0,0,0,0,0,0,1.188,0,0,0.289,0.555,0,0,0,0,0,0,0,3,1.477,0,0,0,7,0,0,2.032,0,7,2.032,2,0.636514168294813,0.918295834054489
"6",14,"Niederdorla","ND_Mais","Stagnic_Luvisol","SS-LL","tU","Maize","A_Cm","75x20",10.438575,51.17563,70603,0,2012,2012,6,24.1944246303328,9.02,7.6,72,20.4,9.92,9.71,86.56,11.24,1.4,2705,7.14,7.13,96,8.88,0.9,864,2,2,3,6,3,1,0,0,0,3,0,0,1,0,0,0,0,0.725,0,0,0,0.537,0,0,2.196,0,0,0,0,1,0.725,1,2.196,1,4,0,2.196,1.262,0,5,3.458,2,0.693147180559945,1
"7",15,"Ronneberg","RO_Mais","Haplic_Luvisol","LLn","ttU","Maize","A_Cm","75x20",9.608546,52.294104,35300,0,2012,2012,5.82,20.188488641196,8.91,10.2,75.3,14.5,11.81,11.41,82.77,12.03,3,2046,10.85,10.89,94.55,12.53,0,383,2,3,3,6,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10.514,0,0,0,0,0,0,3,8.406,5,0,0,10.514,0,0,5,10.514,1,0,NA
"8",16,"Dornburg","DO_MaisII","Mollic_Leptosol","BB-RR","uT","Maize","A_Cm","75x20",11.658923,51.002741,1792,0,2013,2013,7.185,19.0657133093019,8.91,5.1,61.1,33.8,6.275,8.205,71.395,9.49,1.445,2768.5,14.94,15.455,60.315,12.495,0,3945.5,2,2,3,6,3,3,5,0,8.5,15,0,0,1.5,0,0,0,3,1.509,1.2655,0,2.125,2.3225,0,0,6.9,0,0,0,0,16,4.8562,1.5,6.9,1.5,31.5,0,6.9,7.222,0,36,14.122,4,1.21582806455975,0.877034559656992
"9",17,"Pahren","PA_Mais","stagnic_Luvisol","SSn","sL","Maize","A_Cm","75x24",11.910338,50.644899,52601,0,2013,2013,5.8,22.2123425921683,9.7,28.9,49.6,21.5,5.915,6.77,77.735,7.305,1.53,3047.5,13.29,13.565,76.02,10.31,0,3224.5,2,3,3,6,3,6.5,0,0,0.5,6.5,0,0,1.5,0.5,0,0,2.5,7.785,0,0,0.0755,0.358,0,0,2.275,0.026,0,0,0,6.5,7.276,1.5,2.27465,1.5,13.5,0,2.275,8.2185,0,18,10.5195,3,0.677908725644198,0.61705911415396
"10",18,"Ronneberg","RO_MaisII","Haplic_Luvisol","LLn","ttU","Maize","A_Cm","75x20",9.602275,52.294314,14858,0,2013,2013,6.775,21.7749819211783,10.45,9.4,72.1,18.5,2.865,3.965,82.185,4.875,1.18,1927.735,7.00665,8.7983,83.10625,8.04915,0.4,2852,2,3,3,6,3,0,2.5,0,0,1,0,0,1.5,0,0,0,0,0,0.7615,0,0,0.057,0,0,2.918,0,0,0,0,2,0.65395,0.5,2.3387,1.5,3.5,0,2.918,0.8185,0,5,3.7365,2,0.661563238157982,0.954434002924965
