"","Group.1","dgO","dgN","area","age","y_est","year","pH","mc","cn","sand","silt","clay","ata1","atb1","hum1","ats1","prec1","rad1","ata2","atb2","hum2","ats2","prec2","rad2","soil_tillage","fertilisation","weed_control","soil_compaction","compaction","ACA","ACH","ALO","ARO","END","LCA","LRU","LTR","LUM","OCY","OLA","UNK","ACA_BM","ACH_BM","ALO_BM","ARO_BM","END_BM","LCA_BM","LRU_BM","LTR_BM","LUM_BM","OCY_BM","OLA_BM","UNK_BM","endad","endad.bm","ancad","ancad.bm"
"1","1",0,0,0,0.577350269189626,0,0.577350269189626,0.245424801789333,4.95532673181525,0,0,0,0,7.71157787572254,7.45382004970158,3.23547523557204,7.84884917254328,0.360970912955601,728.637312613987,2.48537723494845,1.79652442232217,11.862592465393,2.76706222071954,6.46632301492381,2099.20437308996,0,0,0.577350269189626,0,0,3.60555127546399,0.577350269189626,0,1.15470053837925,4.04145188432738,0,0,5.5075705472861,0,2.3094010767585,1,2,3.75281951782035,0.38509262954948,0,0.266953803743894,0.361082169780416,0,0,23.0552804652933,0,4.63670001186188,1.05943963175508,0,2.3094010767585,4.82004706616025,6.42910050732864,24.6602931351191
"2","2",0,0,0,0.577350269189626,0,0.577350269189626,1.05381845368798,7.05633841292918,0,0,0,0,2.32974247503882,2.54498199076798,5.04482903575532,3.80770709657838,0.827788217682115,610.056554755377,2.02692706660435,2.77592026782711,10.9697903352799,0.741440040281973,0.0577350269189626,2769.40842058372,0,0,0,0,0,3.78593889720018,0,0,3.05505046330389,5.68624070307733,0,0,9.07377172587747,1.52752523165195,0,0,3.78593889720018,2.66296251068868,0,0,1.16459019974124,0.455623016685212,0,0,32.8086505208611,0.233249508752609,0,0,0,4.58257569495584,2.89362413073986,5.56776436283002,32.032221353945
"3","3",0,0,0,0.577350269189626,0,0.577350269189626,1.31940643220099,4.33752737431068,0,0,0,0,7.71157787572254,7.45382004970158,3.23547523557204,7.84884917254328,0.360970912955601,728.637312613987,2.48537723494845,1.79652442232217,11.862592465393,2.76706222071954,6.46632301492381,2099.20437308996,0,0,0.577350269189626,0,0,20.6639783197718,21.007935008785,0,81.6272013485701,25.7746645629644,4.72581562625261,1,9.53939201416946,6.42910050732864,0.577350269189626,2.3094010767585,4.72581562625261,7.48517269896516,6.71891972963908,0,16.168130267082,6.52093646137833,0.94718759141647,0.42646492626397,35.9477736770072,1.42417028476232,0.590051975111798,1.83135505386949,0.0977454005738036,71.756532803641,22.8339649545,7.57187779440036,34.3441778997547
"4","4",0,0,0,0.577350269189626,0,0.577350269189626,0.250066657780147,3.29007897370401,0,0,0,0,7.63285224102585,7.30145875835781,3.32510150221012,7.71883410885349,0.377491721763537,763.506603333156,1.13694033851092,0.87068938204161,3.21482503411927,2.05534263161482,0.461880215351701,723.394083470414,0,0,0.577350269189626,0,0,7.93725393319377,0,0,4.16333199893227,8.14452781524708,0,0,7.50555349946513,3.46410161513775,0,0.577350269189626,1.73205080756888,6.19413948825824,0,0,1.34036674085864,0.808445627938783,0,0,14.0347908071335,1.2020432604528,0,1.48457143086257,0,5.13160143944688,2.95316681716425,5.03322295684717,13.6192752723239
"5","5",0,0,0,0.577350269189626,0,0.577350269189626,0.372066302335126,5.57117385893021,0,0,0,0,2.82631090528507,2.35886272032379,5.7734247490838,3.64695763616744,0.317542648054294,648.554032701465,2.51064400768674,2.83397835795077,12.9146002648166,1.48665171890841,3.69504172281361,1644.95359610335,0,0,0,0,0,5.03322295684717,0,0,0,15.0443787951957,0,0,6.11010092660779,7.50555349946513,3,0,2.08166599946613,6.24121481230484,0,0,0,2.14165987028753,0,0,16.601643452783,1.53748376685197,1.91957035123314,0,0,4.35889894354067,5.9662929604571,3.05505046330389,16.0495505744969
"6","6",0,0,0,0.577350269189626,0,0.577350269189626,0.155884572681199,2.31310831350775,0,0,0,0,7.22161339314145,7.54320223777674,4.91367818780731,7.23139221266094,1.0245649483236,923.348796501084,2.531330348519,1.88155077883466,12.7663933826277,2.19146830534538,2.88675134594813,2249.963184884,0,0,0,0,0,16.7729941672122,0,0,2.3094010767585,7.63762615825973,4.72581562625261,0,5.03322295684717,1.73205080756888,0,0,6.35085296108588,13.2593568974266,0,0,0.403348897771313,1.17879133013439,1.99047540385038,0,5.35240883465878,0.177246532641215,0,0,1.60382131278186,20.4287379280594,13.7149401471534,5.77350269189626,5.70386854190499
"7","7",0,0,0,0.577350269189626,0,0.577350269189626,0.305995642670502,4.65987462370255,0,0,0,0,7.63285224102585,7.30145875835781,3.32510150221012,7.71883410885349,0.377491721763537,763.506603333156,1.13694033851092,0.87068938204161,3.21482503411927,2.05534263161482,0.461880215351701,723.394083470414,0,0.577350269189626,0.577350269189626,0.577350269189626,0,3.21455025366432,0,0,1.73205080756888,8.38649708360608,0,0,3.05505046330389,0,0,0,1,3.33684421772029,0,0,0.9314928877882,0.928941512331822,0,0,9.41052458686549,0,0,0,0,1.52752523165195,3.13415141040335,2.3094010767585,10.7728522337401
"8","8",0,0,0,0.577350269189626,0,0.577350269189626,0.165227116418583,4.65446900978002,0,0,0,0,2.72137832724522,2.47047228952954,4.2777447329171,3.54814035799037,0.938953317973441,597.382066464447,3.47879768502472,3.00301515147693,15.4291682644702,1.52132617585228,0.0577350269189626,1952.69617025623,0,0,0,0,0,19.731531449265,8.08290376865476,0,2.08166599946613,92.6660671443436,0,0,7.93725393319377,2.88675134594813,0,0,7.50555349946513,21.7768474838149,2.74645523053505,0,0.612568635610193,8.13866121259101,0,0,8.78851138323967,0.673190413875104,0,0,0,28.6879765755621,24.4559412046098,4.72581562625261,8.0049530081902
"9","9",0,0,0,0.577350269189626,0,0.577350269189626,0.240277617212535,5.54949003956907,0,0,0,0,7.17861407236801,2.03914197642047,4.97417664878655,3.43214218819675,0.384317577011513,718.195191666815,4.16302774432263,4.45532265947148,10.9859046054478,4.96085006156539,0,1681.23803589299,0,0,0,0.577350269189626,0,2.88675134594813,1.15470053837925,5.29150262212918,4.50924975282289,11.2694276695846,0,0,14.1067359796659,0.577350269189626,0.577350269189626,0,1.15470053837925,1.57312629287458,0.519037892001474,8.47967182934183,0.6772348189513,2.38254198983635,0,0,18.2289177956345,0.0773649360714099,0.900089069666626,0,0,2.08166599946613,1.56134693881063,8.66025403784439,7.74234265925587
"10","10",0,0,0,0.577350269189626,0,0.577350269189626,0.196044212700435,2.84063941835899,0,0,0,0,2.84761888835801,2.39220261126296,5.67399624015854,3.69841858096133,0.277548794508882,626.514963907487,3.55184928358923,3.59145281652611,15.9433131228529,1.93935556306728,0,1640.54696163607,0,0,1.73205080756888,0.577350269189626,0,1,0,0,10.4403065089106,9.07377172587747,0,0,2.3094010767585,0,0,0,1,0.884330820451261,0,0,2.05503941568039,1.05249528898391,0,0,3.35240843772553,0,0,0,0,8.50490054811538,2.29046937183917,1.15470053837925,3.19521092313689
"11","11",0,0,0,0.577350269189626,0,0.577350269189626,0.221885856541902,4.90783863100311,0,0,0,0,2.94249893797772,2.42203082832018,6.37012820383808,3.79745967720528,0.13,1117.99165172792,1.68953642557162,1.96291449975116,9.45203858082124,1.55001075265088,0,924.549079281354,0,0,1.15470053837925,0.577350269189626,0,2,0.577350269189626,0,1.15470053837925,3.60555127546399,0,0,9,1.73205080756888,0,0,2.08166599946613,1.09154218119747,0.201867118009183,0,0.328064526173333,0.528229432475448,0,0,15.7419758077991,0.500562683387406,0,0,0,0.577350269189626,0.69409240739256,4.04145188432738,15.2823025196903
"12","12",0,0,0,0.577350269189626,0,0.577350269189626,0.217025344142107,4.1719092623905,0,0,0,0,5.86747248253738,5.76048898387397,5.34568049924423,5.27165059540179,1.3027023195394,1111.60739472172,2.26022860200762,1.9801346755545,9.65891815888301,3.81919275938428,0.461880215351701,1808.52315439974,0,0,0,0.577350269189626,0,1,0,0.577350269189626,0,0.577350269189626,0,0,2.08166599946613,0,0,0,0,0.602685932582911,0,2.32325748321905,0,0.0866025403784439,0,0,1.33430368857068,0,0,0,0,1,0.602742319182363,1,0.997172053024619
"13","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","16",0,0,0,0,0,0,0.346482322781408,4.40150745950577,0,0,0,0,6.5548798615993,7.3326973209045,3.27390439689371,7.94788022053679,0.388908729652601,532.45140623347,3.3375440072005,2.36880771697493,15.1108719139565,2.08596500450032,0,2964.89873351519,0,0,0,0,0,4.24264068711928,7.07106781186548,0,12.0208152801713,19.7989898732233,0,0,0.707106781186548,0,0,0,0,2.134048265621,1.78968726318315,0,3.00520382004283,3.28451099861151,0,0,1.02530483272049,0,0,0,0,22.6274169979695,6.86770390159622,0.707106781186548,1.02558767543297
"17","17",0,0,0,0,0,0,0.14142135623731,6.99731015197825,0,0,0,0,6.25789501350094,6.81650937063832,1.36471608769004,7.36098159215196,1.35764501987817,570.635172417544,2.34759451353934,2.07182286887658,17.7625223434061,1.15965512114594,0,3039.85205232097,0,0,0,0,0,9.19238815542512,0,0,0.707106781186548,9.19238815542512,0,0,2.12132034355964,0.707106781186548,0,0,3.53553390593274,11.0096525830745,0,0,0.106773123959169,0.506288455329568,0,0,3.21733585439879,0.0367695526217005,0,0,0,9.19238815542512,10.2898178798266,2.12132034355964,3.21684087965196
"18","18",0,0,0,0,0,0,0.586898628384834,3.33941865164234,0,0,0,0,3.93858477120907,5.42350901170082,7.54482935526046,4.63154941677189,1.08894444302728,1568.73760726579,0.598707311630649,2.21791112986972,9.96136677996549,3.97273802874038,0.565685424949238,1574.01969492125,0,0,0,0,0,0,3.53553390593274,0,0,0,0,0,0.707106781186548,0,0,0,0,0,1.07692362774711,0,0,0.0763675323681471,0,0,2.48760165621427,0,0,0,0,2.82842712474619,0.924824959113886,0.707106781186548,3.30742125832196
